1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
4733.2,3.1675e+05,10131,1.1176e+05,8.3463e+05,445,1178,3.8773e+05,729.7,53491,3.0694e+05,1595.2,5170.5,4084,1177.4,2.2396e+05,2060.6,29491,11476,5.6456e+05,2.1169e+05,4448.8,87013,4.0072e+05,1.6425e+05,2.0458e+05,110.65,2.0188e+05,2876.3,87922,7.2595e+05,2.7201e+05,2.9482e+05,2953.1,51516,16152,46599,768.26,40941,4.907e+05,5912.9,4.4817e+05,8256.5,13267,1.1152e+05,7998.2,687.22,553.22,3.886e+05,11284,1.6881e+05,1.4005e+05,9884.4,6510.8,33417,14026,1.4395e+05,7969.6,2398.3,2.1622e+05,1.0863e+05,358.72,1.0315e+05,10443,2.4418e+05,3222.4,17250,80455,82274,1.5985e+05,3818.8
2609.7,3.053e+05,8100,82220,7.8686e+05,1035.3,1685.5,3.4285e+05,574.82,78138,3.5746e+05,5857.7,2933.1,7820.2,1228.7,2.2777e+05,2248.8,62691,4972.1,6.269e+05,2.4545e+05,5780.9,68308,4.4587e+05,1.306e+05,2.676e+05,583.22,1.9205e+05,1051,1.252e+05,6.6575e+05,2.8281e+05,3.2382e+05,2521,50297,11578,33622,622,9545.4,3.6931e+05,4062.4,4.1171e+05,6608.9,5140,1.4994e+05,9652.7,944.29,9818.7,3.1391e+05,24773,1.9092e+05,1.3331e+05,3519.5,3675.6,27002,1548.6,1.3043e+05,4556.1,1943.6,1.8726e+05,1.5005e+05,1141.4,1.2605e+05,4994.5,2.1813e+05,458.63,46105,73826,74805,2.432e+05,6566.1
1575.1,3.4135e+05,48301,90332,8.3641e+05,635.66,935.54,3.6442e+05,1350.5,44559,3.5957e+05,2342.6,5301.4,3086.4,3348.4,1.7196e+05,2364.9,45411,10226,6.1493e+05,2.9254e+05,2189.1,1.0456e+05,5.0042e+05,1.7986e+05,2.6912e+05,5332.3,1.9909e+05,2697.7,1.2344e+05,8.0023e+05,3.2474e+05,3.4963e+05,15341,56342,8340.2,29577,314.32,3246.9,3.8632e+05,6150.7,3.6701e+05,9860,7401.8,1.7058e+05,11083,2219.1,1725.2,3.5521e+05,4942.8,2.0857e+05,1.5024e+05,1200.1,7118.7,22800,1479.6,1.3149e+05,1319.9,352.56,2.3094e+05,1.4241e+05,223.19,1.0149e+05,2976.2,2.5826e+05,1158.8,64625,78347,94826,1.9324e+05,2831.6
1599.3,3.4524e+05,20838,87516,8.8467e+05,1078.2,8258.1,4.1903e+05,2390.6,62221,3.1926e+05,448.31,1884.7,8641.8,2465.1,1.95e+05,3426.6,18211,7772.4,7.2838e+05,2.0646e+05,14337,89814,4.9046e+05,1.5168e+05,2.2579e+05,377.8,2.0261e+05,1730,1.1893e+05,8.5696e+05,3.0106e+05,3.4539e+05,24893,62616,23709,43934,3046.7,5347.7,3.5732e+05,11112,4.8796e+05,6113.5,11799,1.1242e+05,13057,362.39,100.06,3.7705e+05,2008.6,2.1894e+05,1.9647e+05,1548.2,1278.1,30966,9771.5,1.3854e+05,4771.4,655.19,2.7753e+05,1.4441e+05,113.19,1.3144e+05,8021.9,2.3857e+05,1801.3,85014,72448,1.2021e+05,1.6951e+05,4857.4
2096.3,3.5888e+05,23271,85812,9.0724e+05,771.48,2590.9,3.982e+05,2701.3,83216,3.5576e+05,1059.6,2805.6,4870.9,1038.1,2.0133e+05,1227.4,35750,6685.2,6.8162e+05,2.1855e+05,6322.9,84036,4.3603e+05,1.8477e+05,2.743e+05,1491.4,2.3585e+05,5668.1,1.0859e+05,7.7441e+05,2.6168e+05,3.6064e+05,27434,51832,16449,54672,3307.2,4787.1,3.0798e+05,6961.4,4.3055e+05,8760.1,8587.8,1.3757e+05,22873,1159.3,610.22,3.5766e+05,6489.9,1.8044e+05,1.6194e+05,1088.7,5525.3,28596,15632,1.576e+05,5273.6,2998.6,2.3926e+05,1.4258e+05,98.154,1.0268e+05,4796,1.8404e+05,8791.2,51752,83865,81165,2.1321e+05,10712
941.89,3.6884e+05,14417,1.2583e+05,9.8013e+05,512.46,18355,3.5706e+05,2433.9,56818,3.3698e+05,1693.3,1759.6,2355.4,1541.5,1.4424e+05,3422.9,34359,10502,7.8648e+05,2.0914e+05,10484,78939,4.6952e+05,1.8145e+05,2.8489e+05,2954.7,2.6904e+05,1160.7,1.4605e+05,8.7973e+05,2.8949e+05,3.9638e+05,17392,54283,22994,59184,9595.4,1697,3.8077e+05,6661.7,3.547e+05,19861,10229,1.5074e+05,24621,22196,161.97,3.8474e+05,8517.7,1.9469e+05,1.2558e+05,2293.6,1717.2,43865,20088,1.5544e+05,2509.8,4679,2.6869e+05,1.497e+05,57.063,1.4286e+05,11428,1.799e+05,2370.1,22160,90262,95656,2.3124e+05,5679.2
2569.2,3.1578e+05,20697,1.0778e+05,8.6168e+05,2260.8,1852,3.6975e+05,6479.1,79552,4.6789e+05,200.84,1534.1,8166.5,1067.9,1.4766e+05,2565,29191,6395.1,8.9884e+05,2.1672e+05,8990.8,94737,4.9435e+05,2.2498e+05,3.134e+05,2661.3,2.1031e+05,3461.6,1.2438e+05,6.9628e+05,2.941e+05,4.2171e+05,15257,70217,16989,41769,2244.1,13147,2.9636e+05,5971.2,4.9373e+05,2232.8,20994,1.4553e+05,37292,26482,4503.7,3.4881e+05,5291.3,2.2325e+05,1.2166e+05,2177,3237.4,44836,34871,1.8333e+05,632.74,1618.5,2.3006e+05,1.704e+05,13.417,1.1646e+05,3713.7,1.6528e+05,633.53,11511,1.0287e+05,99517,1.4499e+05,9194.7
1381.2,4.2517e+05,20459,1.2163e+05,8.4773e+05,264.49,6620.4,3.052e+05,1431.8,55224,4.4884e+05,1043.1,3919.7,7988.3,4094.6,2.0908e+05,5059.5,38966,6424.4,9.0828e+05,2.7555e+05,16572,99937,5.5564e+05,2.0312e+05,2.4744e+05,1443.4,3.2207e+05,7428.8,1.9901e+05,5.9697e+05,2.8287e+05,3.4866e+05,13668,86097,27931,46873,4094.2,7227.8,1.8417e+05,5731.9,4.9529e+05,7948.2,11000,1.4578e+05,31831,1469.1,704.78,4.7637e+05,2167.9,3.39e+05,1.3539e+05,845.93,4959.5,36319,2604.6,1.6729e+05,1858.3,1293.4,2.5768e+05,1.4632e+05,11.106,1.0763e+05,18238,1.2699e+05,284.38,21583,98658,1.1269e+05,1.8951e+05,5217.3
2602.4,4.5388e+05,21806,1.2503e+05,7.7233e+05,1420.4,3495.7,2.565e+05,7343.2,36218,4.0409e+05,4261.5,2028.8,9505.9,2947.8,2.4448e+05,6895.7,23252,14914,8.2756e+05,2.7756e+05,21764,88502,5.6576e+05,1.7666e+05,2.9403e+05,924.94,2.5633e+05,2114.7,1.4714e+05,3.4936e+05,3.0702e+05,3.3451e+05,9121.9,48626,14633,41688,3204.5,6290.7,1.8774e+05,4721.1,4.5582e+05,5772,10587,1.5179e+05,18943,103.18,581.28,4.0372e+05,1492.2,3.173e+05,1.6909e+05,3808.4,5639.9,56323,1047.6,1.5298e+05,5005.5,859.61,2.3879e+05,1.3156e+05,43.723,1.3546e+05,2581.5,1.0007e+05,2043.4,30007,1.0817e+05,1.0159e+05,1.834e+05,6853.5
2037.7,4.8274e+05,37788,1.1438e+05,7.6651e+05,5187.6,1285.3,1.9989e+05,2850.1,33381,2.5914e+05,1565.4,4946.9,15905,1212.1,2.4155e+05,2107.3,27450,10953,8.3668e+05,2.6003e+05,11708,80309,5.5161e+05,1.6332e+05,2.8124e+05,620.29,1.9847e+05,3098.3,1.3064e+05,3.6311e+05,3.5883e+05,2.9012e+05,16492,51058,9966.5,41812,4713.6,2906.3,1.5563e+05,2648.2,3.6105e+05,16879,12164,1.597e+05,35935,49.237,898.64,4.9287e+05,2665.3,2.5812e+05,1.3879e+05,2135.3,3873.6,51362,16564,1.5067e+05,4786.3,1767,2.672e+05,1.2925e+05,434.24,1.1422e+05,17121,1.544e+05,818.74,42390,83364,72644,2.4635e+05,3115
