80.413,76.471
81.237,76.899
81.291,77.506
81.019,77.111
81.108,77.205
80.98,76.436
80.486,76.611
80.683,77.735
81.256,77.349
81.206,77.208
81.156,78.098
80.894,77.26
81.15,77.019
81.357,77.206
80.481,76.638
81.395,76.523
80.735,77.916
80.908,77.032
81.32,76.944
80.796,77.059
81.157,76.914
80.407,76.929
81.162,76.526
80.576,77.103
80.642,76.552
80.964,76.884
81.339,77.863
81.382,77.26
81.336,77.915
81.388,77.575
80.809,77.636
81.341,77.875
81.385,77.134
80.918,76.927
81.376,77.265
80.967,76.607
80.4,77.509
81.182,77.852
80.453,77.272
80.571,77.395
80.553,77.084
80.733,78.012
81.327,77.232
81.339,77.917
80.97,77.267
80.401,76.714
81.287,76.929
80.433,77.04
81.08,77.629
81.155,76.728
80.748,76.755
80.667,76.903
80.673,76.617
80.854,77.978
80.643,78.169
80.917,77.452
80.88,77.31
80.492,78.186
81.185,77.36
81.367,77.776
81.365,77.769
81.397,77.869
80.478,77.005
80.854,77.643
81.233,77.218
80.815,77.494
81.173,76.575
80.612,77.155
81.246,78.058
81.26,77.569
80.441,76.616
